"Altura.en.cm" "Temperatura.en.C" "Precipitación.pluvial.mm" "Dosis.en.kg"
"1" 6.16118344129242 42.1796837128698 648.087981993085 0
"2" 6.56261099971274 41.1436898071349 648.956131515219 1
"3" 7.98479497809592 39.8130336623708 649.314314660524 1.5
"4" 6.08564099174359 38.8236891215267 650.187751487721 1
"5" 8.33190974583919 37.3172784917727 648.449876569533 0
"6" 5.38464044534808 50.7717766837497 651.144165929576 1.5
"7" 7.32522065868863 35.1338920656831 648.240864602765 1
"8" 8.43725744959599 37.5508206691861 647.929775081507 0
"9" 6.76681149488778 41.9683087614856 651.17359253734 1.5
"10" 7.07095132961255 39.072202192446 647.590472302851 1
"11" 5.54655771556667 42.6882335636649 651.244676584899 1.5
"12" 5.34229056598178 42.0618998873691 650.536195704641 1.5
"13" 4.83055393950301 43.036240662422 652.231124276374 0
"14" 6.1461420883522 45.0506649324937 649.740014288536 1
"15" 4.69525601965256 41.8136817956509 651.811793535817 1.5
"16" 5.90361708715052 40.2812252362819 651.109886117366 1
"17" 6.52359903999184 37.002085310796 647.613460682619 1
"18" 5.53176012525145 36.4239785265249 650.65786683994 1.5
"19" 8.31780010408472 33.6185862115749 650.995398111325 1.5
"20" 6.98657390291517 37.2837405303643 647.960158883145 1.5
"21" 6.57849276822108 39.7442122452344 648.47558904792 0
"22" 6.30908523273248 46.2450528324904 651.068368904605 1.5
"23" 6.70989661773988 39.6211831354638 650.04791875169 1.5
"24" 6.67948024084983 39.059556826706 650.17047500942 1.5
"25" 6.47860005444822 36.1455736949997 648.700000362063 1.5
"26" 5.69740559034709 40.8801975592807 650.45025978622 1.5
"27" 6.69552337958143 40.2339626092118 647.495811298268 1
"28" 7.15107594272234 41.6364887906697 650.873997719929 1.5
"29" 5.67247826421502 38.8235955403826 649.954623911726 1
"30" 7.95616380396384 39.7602983882101 648.931036540268 1.5
